E_low_MeV,E_high_MeV,E_center_MeV,counts_total,counts_primary,counts_secondary,prob_total_per_bin
0.0,0.01,0.005,0,0,0,0.0
0.01,0.02,0.015,0,0,0,0.0
0.02,0.03,0.025,0,0,0,0.0
0.03,0.04,0.035,0,0,0,0.0
0.04,0.05,0.045,0,0,0,0.0
0.05,0.06,0.055,0,0,0,0.0
0.06,0.07,0.065,247,0,247,0.000247
0.07,0.08,0.07500000000000001,1408,0,1408,0.001408
0.08,0.09,0.08499999999999999,1450,0,1450,0.00145
0.09,0.1,0.095,1405,0,1405,0.001405
0.1,0.11,0.10500000000000001,1345,0,1345,0.001345
0.11,0.12,0.11499999999999999,1358,0,1358,0.001358
0.12,0.13,0.125,1460,0,1460,0.00146
0.13,0.14,0.135,1404,0,1404,0.001404
0.14,0.15,0.14500000000000002,1452,0,1452,0.001452
0.15,0.16,0.155,1364,0,1364,0.001364
0.16,0.17,0.165,1351,0,1351,0.001351
0.17,0.18,0.175,1409,0,1409,0.001409
0.18,0.19,0.185,1489,0,1489,0.001489
0.19,0.2,0.195,1423,0,1423,0.001423
0.2,0.21,0.20500000000000002,1426,0,1426,0.001426
0.21,0.22,0.215,1411,0,1411,0.001411
0.22,0.23,0.225,1466,0,1466,0.001466
0.23,0.24,0.235,1388,0,1388,0.001388
0.24,0.25,0.245,1431,0,1431,0.001431
0.25,0.26,0.255,1385,0,1385,0.001385
0.26,0.27,0.265,1429,0,1429,0.001429
0.27,0.28,0.275,1378,0,1378,0.001378
0.28,0.29,0.28500000000000003,1404,0,1404,0.001404
0.29,0.3,0.295,1389,0,1389,0.001389
0.3,0.31,0.305,1438,0,1438,0.001438
0.31,0.32,0.315,1339,0,1339,0.001339
0.32,0.33,0.325,1403,0,1403,0.001403
0.33,0.34,0.335,1388,0,1388,0.001388
0.34,0.35000000000000003,0.34500000000000003,1391,0,1391,0.001391
0.35000000000000003,0.36,0.355,1373,0,1373,0.001373
0.36,0.37,0.365,1334,0,1334,0.001334
0.37,0.38,0.375,1417,0,1417,0.001417
